"Serie 1: Tiempo (s)","Serie 1: Caudal (L/s)","Serie 1: Volumen (L)","Serie 2: Tiempo (s)","Serie 2: Caudal (L/s)","Serie 2: Volumen (L)","Serie 3: Tiempo (s)","Serie 3: Caudal (L/s)","Serie 3: Volumen (L)","Serie 4: Tiempo (s)","Serie 4: Caudal (L/s)","Serie 4: Volumen (L)","Serie 5: Tiempo (s)","Serie 5: Caudal (L/s)","Serie 5: Volumen (L)","Serie 6: Tiempo (s)","Serie 6: Caudal (L/s)","Serie 6: Volumen (L)","Serie 7: Tiempo (s)","Serie 7: Caudal (L/s)","Serie 7: Volumen (L)","Serie 8: Tiempo (s)","Serie 8: Caudal (L/s)","Serie 8: Volumen (L)","Serie 9: Tiempo (s)","Serie 9: Caudal (L/s)","Serie 9: Volumen (L)","Serie 10: Tiempo (s)","Serie 10: Caudal (L/s)","Serie 10: Volumen (L)","Serie 11: Tiempo (s)","Serie 11: Caudal (L/s)","Serie 11: Volumen (L)","Serie 12: Tiempo (s)","Serie 12: Caudal (L/s)","Serie 12: Volumen (L)","Serie 13: Tiempo (s)","Serie 13: Caudal (L/s)","Serie 13: Volumen (L)"
0,-0.061294127634,0,0,-0.0714107050298,0,0,-0.606399121432,0,0,-0.295165593314,0,0,-0.0422511584184,0,0,-0.061294127634,0,0,-0.188048891476,0,0,-0.0321345810225,0,0,0.47309919598,0,0,-0.0321345810225,0,0,-1.44250448856,0,0,-0.878356525543,0,0,-0.0321345810225,-0
0.02,-0.061294127634,0.00122588255268,0.02,-0.0517726430262,0.00123183348056,0.02,-0.557601512817,0.0116400063425,0.02,-0.27552753131,0.00570693124624,0.02,-0.0130916118069,0.000553427702253,0.02,-0.0517726430262,0.0011306677066,0.02,-0.197570376084,0.00385619267559,0.02,-0.0321345810225,0.000642691620451,0.02,0.521896804596,-0.00994996000576,0.01,-0.0321345810225,0.000321345810225,0.01,-1.36454733333,0.0140352591094,0.01,-0.868835040936,0.0087359578324,0.01,-0.0321345810225,0.000321345810225
0.04,-0.061294127634,0.00245176510536,0.04,-0.0517726430262,0.00226728634108,0.04,-0.460006295587,0.0218160844265,0.04,-0.236846500091,0.0108306715603,0.04,-0.0130916118069,0.00081525993839,0.04,-0.061294127634,0.0022613354132,0.04,-0.226729922695,0.00809919566338,0.04,-0.0517726430262,0.00148176386094,0.04,0.580215897819,-0.0209710870299,0.02,-0.0517726430262,0.000740881930469,0.02,-1.36454733333,0.0276807324428,0.02,-0.878356525543,0.0174719156648,0.02,-0.0321345810225,0.00064269162045
0.06,-0.0517726430262,0.00358243281196,0.06,-0.061294127634,0.00339795404769,0.06,-0.285049015918,0.0292666375416,0.06,-0.178527406868,0.0149844106298,0.06,-0.0321345810225,0.00126752186668,0.06,-0.0714107050298,0.00358838373984,0.06,-0.27552753131,0.0131217702034,0.06,-0.0714107050298,0.0027135973415,0.06,0.599853959822,-0.0327717856063,0.03,-0.0714107050298,0.00135679867075,0.03,-1.33538778672,0.041180408043,0.03,-0.897994587547,0.0263536712302,0.03,-0.0321345810225,0.000964037430675
0.08,-0.0517726430262,0.00461788567249,0.08,-0.061294127634,0.00462383660037,0.08,-0.120208313645,0.0333192108372,0.08,-0.120208313645,0.017971767835,0.08,-0.0321345810225,0.00191021348714,0.08,-0.0714107050298,0.00501659784044,0.08,-0.304687077922,0.0189239162958,0.08,-0.0714107050298,0.0041418114421,0.08,0.638534991042,-0.0451556751149,0.04,-0.0714107050298,0.00207090572105,0.04,-1.31574972472,0.0544360956002,0.04,-0.878356525543,0.0352354267957,0.04,-0.0321345810225,0.0012853832409
0.1,-0.061294127634,0.00574855337909,0.1,-0.0517726430262,0.00575450430697,0.1,0.0357059968082,0.0341642340056,0.1,-0.061294127634,0.0197867922478,0.1,-0.0321345810225,0.00255290510759,0.1,-0.061294127634,0.00634364616708,0.1,-0.304687077922,0.0250176578542,0.1,-0.0714107050298,0.00557002554269,0.1,0.531418289203,-0.0568552079174,0.05,-0.0809321896377,0.00283262019439,0.05,-1.2865901781,0.0674477951143,0.05,-0.897994587547,0.0441171823612,0.05,-0.0321345810225,0.00160672905112
0.12,-0.061294127634,0.00697443593177,0.12,-0.0517726430262,0.00678995716749,0.12,0.171982245258,0.0320873515849,0.12,-0.0130916118069,0.0205306496422,0.12,-0.0226130964147,0.00310038188196,0.12,-0.061294127634,0.00756952871976,0.12,-0.295165593314,0.0310161845665,0.12,-0.0714107050298,0.00699823964329,0.12,0.454056226765,-0.0667099530771,0.06,-0.0910487670335,0.00369252497774,0.06,-1.2770686935,0.0802660894723,0.06,-0.907516072155,0.0531447356597,0.06,-0.0321345810225,0.00192807486135
0.14,-0.061294127634,0.00820031848445,0.14,-0.0517726430262,0.00782541002802,0.14,0.230301338481,0.0280645157475,0.14,0.0261845122004,0.0203997206382,0.14,-0.0226130964147,0.00355264381025,0.14,-0.061294127634,0.00879541127244,0.14,-0.255889469307,0.0365267351927,0.14,-0.061294127634,0.00832528796993,0.14,0.483215773376,-0.0760826730785,0.07,-0.100570251641,0.00465062007112,0.07,-1.25743063149,0.0929385860972,0.07,-0.897994587547,0.0621722889582,0.07,-0.0321345810225,0.00224942067157
0.16,-0.061294127634,0.00942620103713,0.16,-0.0422511584184,0.00876564804246,0.16,0.239822823089,0.0233632741318,0.16,0.0160679348046,0.0199771961682,0.16,-0.0321345810225,0.00410012058463,0.16,-0.0517726430262,0.00992607897904,0.16,-0.246367984699,0.0415493097328,0.16,-0.061294127634,0.00955117052261,0.16,0.551056351207,-0.0864253943243,0.08,-0.100570251641,0.00565632258753,0.08,-1.24790914688,0.105465284989,0.08,-0.878356525543,0.0710540445236,0.08,-0.0321345810225,0.0025707664818
0.18,-0.0517726430262,0.0105568687437,0.18,-0.0517726430262,0.00970588605691,0.18,0.210663276477,0.0188584131362,0.18,0.00654645019677,0.0197510523182,0.18,-0.0321345810225,0.00474281220508,0.18,-0.0517726430262,0.0109615318396,0.18,-0.246367984699,0.0464766694268,0.18,-0.0517726430262,0.0106818382292,0.18,0.638534991042,-0.0983213077468,0.09,-0.110091736249,0.00670963252698,0.09,-1.26754720889,0.118042566768,0.09,-0.917037556763,0.0800310149352,0.09,-0.0321345810225,0.00289211229202
